userName,review,date,isEdited,title,rating,app_name,app_id
kkone1517,"The video quality itself isn’t the problem lately but it’s the changes to the comment section and recommended videos that I just can’t get behind. For me, and many others a big part of the experience is being able to look at comments and easily jump between other’s reactions and thoughts on the video, along with easily being able to jump between time stamps listed in the comments and the video. Now, it’s far too easy to overlook the comments altogether since they tend to blend in with the description or even get overlooked as part of an ad. It’s also ridiculously easy once you’ve clicked to look at replies to a comment to exit out of them completely since the X just closes them all instead of that specific comment, which makes it all supremely annoying to navigate. It would be good to give the option to toggle back to a “classic” view at least, since it isn’t only the comments, but also the recommended videos that are troublesome to look through as well. Really, have they never hear of “if it ain’t broke don’t fix it”?",2022-08-25 04:16:33,False,UI was better before and now as of 2022 the ads literally make things nearly unwatchable,1,youtube-watch-listen-stream,544007664
Anime Favorite,"What bugs are you actually fixing Google? For the last several updates there has been a bug that has obscured the like button, the dislike button, the save to playlist button, the share button, and the clip button. And now when I go and try to look at the comment section, tapping on the comment section takes me on to the channel. Like when you’re watching a video and you tap the channel button to see the rest of the videos on that channel, that’s where it has recently started taking me if I tap the comments button or the add a comment button. That’s super annoying on top of dealing with the fact that I can’t like a video whenever I want. Fast forward to now is the most recent update. Still haven’t changed. It’s totally random. It will let me see those buttons on some videos, but not others. U2 better fix this soon. I hope it’s not a problem that only applies with voiceover, because Google how to be prepared for someone to take them to court for violating the Americans With Disabilities Act if they don’t fix it soon.",2022-05-18 05:05:42,False,Are they actually fixing bugs as they claim?,2,youtube-watch-listen-stream,544007664
Delaware D's,"My number 1 amount of viewing. Great series especially British. Do wish they stayed current and put in Series 1- ?? And programs. Call the midwife has been on for yrs in Britain. We don’t have all. Also Dr Martin, same with midsummer murders. So wish bodyguard went on .  Love to watch the Royal family, I’m a transplanted Canadian, with a very British Mom. Love the music and video of concerts. I find Gary Barlow concerts and Take That really zippy and upbeat. Loved Boyzone, westlife. I could go on and on. The life with malamutes, Shepa, Penny the cat are a doze of fun. Shepa shows the beautiful British countryside. Oh my, escape to the country, is stunning. What great adverts for Britain. Enough, PS , I’m 74 and housebound much of the time. I found all music because 3 yrs ago Christmas my son suggested I watch/ listen to Last Christmas video. It brought back such good memories of Christmas in the Laurentian Mountains of Quebec, Canada. From there other British music and Michael McIntre such fun, Miranda. Oh my I’m rattling. Thank you U Tube  Delaware D’s",2022-02-11 12:37:44,False,UTube rating,5,youtube-watch-listen-stream,544007664
Fantaapp,"I use YT app everyday. I noticed that the pic-in-pic feature is always on and off. I has been stable in the past several weeks, but then after the most recent update, it disappeared again…very disappointing…

Also, I’m not very impressed with the new location of comments on the iPad version. Originally, you could easily skim through comments on the left side of bottom while skim through recommended videos on the right side. With the new location, you will need to click unnecessary extra times to open the comments and then close it before you can get back to the recommended videos. Given the typical screen size of iPads, the whole left side of bottom has been wasted (and users end up wasting time clicking more times…). I could see why the comments moved on iPhones (because of smaller screens), but I find that such a same “adaption” on iPad is a total useless deadweight loss. I would rather stay with the old version…",2022-03-02 03:33:10,False,Please take pic-in-pic feature back! The new location of comments does not make sense on iPads,3,youtube-watch-listen-stream,544007664
Le ZomGod,"At this point, the only reason I am here is due to the content creators. The absolute atrocity that has become this medium of entertainment is beyond appalling. The sheer quantity of ads, upon ads, upon unskippable ads has left me to the point where I am WILLINGLY taking longer than five seconds to avoid any unskippable ad. I will close the app, stop the video, go back through my watched history, report them, I no longer care. Your insufferable need for money is disgusting. If one of the world's most wealthy monopolies can’t bring for better service after buying out this site, then you all have failed as people of the world. Your greed, evidentially, knows no bounds and proves that there is no low you won't go. Including removing dislike counters to cater to a few individuals that should not have any bearing on the overall usage of this, but the mass's outcry towards the increasing number of advertisements goes unheard. Or, it’s heard and disregarded. Regardless of what the answer is, you have failed. If a new source can bring all of my creators to one place in a more streamlined fashion, I will gladly delete my account from this site and never return.",2022-02-03 23:15:22,False,I come for the creators.,1,youtube-watch-listen-stream,544007664
Leah Bug 🐞,"I love this app Pip starts when you leave, I can find my favorite YouTubers, and they removed the number of dislikes? Come on. I dislike. Add it back for 5 stars. ••••••••••••••••••••••••••••••••••••••••••••Edit: I saw this one video and Mario spelled this out when Junior tried to steal money, and I love it and agree: B-I-T-E-M-E-J-U-N-I-O-R-L-O-V-E-M-A-R-I-O(Bite me Junior,Love Mario.) •••••••••••••••••••••••••••••••••••••••••••••Edit 2: So, I can find a totally kid appropriate video on YouTube,but can’t find that same video on Yt kids? Yeah, that’s fair. Ok, add gacha life to yt kids! Thanks ;) one star now! ••••••••••••••••••••••••••••••••••••••••••••Edit 3: I want gacha life in yt kids! How many times must I speak? A lot. If you don’t add this I’ll be mad. Also, if you haven’t, add The Pines. :) ;( ;) :( thank you! *_* ••••••••••••••••••••••••••••••••••••••••••••Edit 4: Come on! Hiding dislikes? I want to watch without many adds. Also, What about copying?! I saw a video that copied and PASTED it. Without credit. *Facepalm* Something about making Money…••••••••••••••••••••••••••••••••••••••••••••••••• Ok! One more time! You all love money? Help people when they ask!!! It’s so simple. Just Listen to people= Satisfied customers= More people paying for Premium= More money= Rinse and repeat!",2022-09-01 16:15:53,False,Good enough.,1,youtube-watch-listen-stream,544007664
B-Rush12,"Let me just say that this is my favorite media platform, and the only social media app (or maybe more accurately, social media adjacent) that I still have on my phone aside from Twitch, Discord, Snapchat, and FB Messenger…and that’s it. And I say this because I want the app to be the best that it can possibly be, and being the best implies that the app has integrity. In my opinion, removing the ability to see the number of dislikes on a video is harmful and a major blow to this platform’s integrity. The like-to-dislike ratio was so often used as a quick eye test and a tool to judge a content creator’s credibility and the amount of effort and value that went into the production of any particular video. Removing this feature takes away the viewer’s ability to relay to future viewers whether or not that the content in the video, or the creator who made the video, was valuable/credible enough to consider watching their content. I hope this gets reverted in the near future.",2022-01-13 03:34:20,False,Removing Dislikes Was a Mistake,4,youtube-watch-listen-stream,544007664
Skyler Stormer,"Overall, this is a great app and I use it a lot instead of the online website. But the thing is, as a mobile user, when I go to a specific channel and try to see their old community posts [only if I have missed a few days of their content and want to see what they’ve been posting. And if you’re gonna think “just scroll down in the subscriptions tab”, no. I have over a hundred subscriptions with some of them posting every minute; I’m not gonna scroll down that far] it doesn’t let me and says that it isn’t available for mobile or something like that. But I can perfectly see the community tabs in the subscriptions tab? But it still doesn’t work since when I try to open up the comment section area or try to click on the message to see the entire thing, it still says the same thing about it ‘not working’, etc. I’m unable to see full community posts because of this, please fix it.",2022-07-03 15:27:25,False,Community Tabs,4,youtube-watch-listen-stream,544007664
DrakenTech,"The recommendation system is absolute trash. Using the “not interested” option is useless after the last update. For whatever reason, all the video recommendations I’ve told it I’m not interested in and all the channels I’ve asked it not to show me are now back. Also, if I tell the app I don’t want a channel recommended to me; I don’t want it recommended to me out of spite on every single one of my other accounts! You know they’re mine because they’re all linked to the same account! I’ve never watched videos in Hindi, Arabic, Spanish, Urdu, Hebrew, Russian, Portuguese, or a hundred other languages; why are you recommending them to me!? I don’t watch sports videos, gender reveals, pop music videos, Minecraft videos, prank videos, drama, K-pop, or any of the other garbage trend videos; why are you recommending them!? I reach out to support and I get “your recommendations are based on your watch history”- NO IT’S NOT! Instead of taking a single iota of responsibility for the broken system, I get told it’s my fault. Then, even when I tell it I’m not interested, I get it and every video related to it recommended the next day! FIX YOUR SH*T, GOOGLE!!!!",2022-05-06 18:26:24,False,Broken,1,youtube-watch-listen-stream,544007664
Prof SB,"Isn’t Google one of the wealthiest tech companies around, complete with a massive army of the best coders in the world? Then why are they so incapable of making an elegant app? Or heck, why can’t they even make a DECENT app all these years later? Trying to post comments is one of the most frustrating experiences I’ve ever had on iOS. Something about the way they’ve implemented the text box makes the text shift around with to try to place the cursor, not to mention the fact that simply PLACING the cursor is a giant headache that takes multiple taps to work (if it does at all). Similarly, selecting text and dragging the selection is flawed, sometimes working across multiple rows, sometimes not. And can we talk about how YouTube’s “5-second” skip via double-tap is not actually a 5-second skip? Instead, it’s skips you to some predetermined location that is WITHIN 5 seconds of your current spot but could be anywhere within that range. It basically functions like tab locations in a word processor: it moves you to wherever the next tab is, whether it’s 1 space away or 5.",2022-09-10 18:26:58,False,I thought Google was supposed to be a tech company,1,youtube-watch-listen-stream,544007664
badbadger18,"Google has gotten so lazy. And don’t get me started with how broken their ad system is, and how they only care about making that $ and not monitoring what gets advertised on their platform, Really ironic that they get so angry at creators for not being “family friendly” but the ads are way worse and just plain disgusting. Other than that though i am on here daily

Edit: wrote this review months ago. Not only have the issues I’ve experienced not gone away, but now there’s even more issues. 5% of the time the Skip ad timer doesn’t count properly and i need to close my video (yes even if its an ad in the middle of the video). Sometimes the video just pauses and doesn’t unpause until you double tap to rewind 10 seconds, only it rewinds about 2 minutes because the video timer stopped working.  I have lower end internet and it forces me into 480p even though 720p works just fine, every single video and i need to manually change it to 720p. Its a stupid new system they decided to make to make this already broken app somehow even worse.",2022-06-20 06:14:55,False,Most broken app on my phone,1,youtube-watch-listen-stream,544007664
哦情绪进行婆婆关系,"14:17 4
＜返回
:!!! 5G
评分及评论
按最有帮助排序丷
A Few Annoying Problems...
1年前
ME I SENT THIS!
I've been using this app for years and it has
been great. It works well and is a nice quality
app. I have a few problems though, and it has to
do with the subscription tab. The first problem
is that it will often say that someone has posted
(showing a little blue dot on their icon) but they
haven't. No big deal, but if I click it to make the
blue dot go away, then go back to a different
tab (such as the home) it will put the blue dot
back. That makes it so there is a red dot on the
subscription button which just bothers me. It
also usually happens to people with less that 1k
subs.
The second problem I have is that I don't get all
community posts. I am subscribed to a lot of
people, and a good amount of them make posts
regularly. Maybe this is supposed to happen,
but I don't get them all, and I would like to.
The last problem (which I find more funny) is
that when I click all to see everyone I am
subscribed to, it shows everyone as normal.
But, if I leave the app and come back, or slide
up on my phone (to show brightness or
flashlight) it will switch around the names so
that they do not match the right person.
Other than these three problems, the app is
amazing.
Todav
游戏
App
Arcade
Q
搜索一下婆婆说关系",2022-09-04 06:18:22,False,一无所有颇有随心所欲,5,youtube-watch-listen-stream,544007664
G lenncard,"This is the best video editing app hands down given the amount of things that you can do all inside just this one app and the user interface makes it extremely easy to use. You really don’t have to be experienced in editing anything if you want to use this. Now, I do pay for more features on the app and I don’t believe the price is so outrageous, so I continue to pay and use everything that comes with it. So simple, easy and most of all quick! I do have one complaint/question though: I don’t think the app comes with any sort of ending transition, like even just the typical fading into a black screen to end your videos. I may be wrong and they do have something, but I just haven’t found it yet. If this app does have it, if someone could let me know then that would be amazing!3",2022-08-12 12:47:47,False,Best Video Editing App,5,youtube-watch-listen-stream,544007664
Darkknight1966,I’ve been looking and reviewing on a lot of stuff from Steve Slate audio. The software plug-in for the drums are outstanding I bought the basic platinum kit for like 120 bucks. I am not disappointed with it I can’t wait to play with it later on I don’t want to put it down it’s so much fun to play with. Especially having the black album from Metallica on there it’s pretty cool which is under Steve Slate Meadow and then you’ll see a black cat and that’s all but all the white kid that they had on that album. I would highly recommend this software companion to the recording on Arsenal I don’t think you’ll be discouraged sound quality is fantastic it’s something you could check out go to SSD 5.5 and you can download the basic version of it it’s only like one or two cats but you get the idea and then you can decide to pay the &120,2022-03-12 17:11:45,False,Steve Slate Drums,5,youtube-watch-listen-stream,544007664
"""Elaine""","I would like to thank Mark for
“making” it “possible”for us to be able to find friends and family and make new “friends” and I’m hoping you’ll be able to keep “everything” together so you don’t have to put up no party of your “hard” work, I’m afraid that if you do we will end up with too much bullying from some people that have no love for “others”

And will use your network to keep us at each “other” and we need to have a safe  “places” to “go” know more using your platform to do bad things, and bully “others “ my love to you and your “family”have faith and keep it “all” “together”for your “children “ I want to know how to make that “bread” the children was helping to “make” thanks again to your “family”and your “employees “",2022-06-11 01:30:48,False,Vilma smith. My name is vilma why do I have to put nickname!,5,youtube-watch-listen-stream,544007664
Just4Me L3na,"Listening to M.R. InsideOfYou podcast is such an enlightening moment of my day - hearing from the stars and getting into stuff that creeps under the surface is what I love to hear. We are all not perfect and we enjoy hearing about the not-so-perfect things. 
It’s sort of therapeutic hearing the many different versions of what ticks a person off and just how far their experiences were. I like hearing how they cope and overcome and even still struggle with many issues in their lives.
It also brings me a bit closer to the stars because I just learned something about them or that I heard their upmost struggle. It’s surreal. The interviews brings myself to dig into my own persona and make me want to do things a little different in my life, for the good. 
Thank you Michael Rosenbaum and thanks to your many guests.",2022-03-23 05:33:17,False,Inside of You with Michael Rosenbaum,5,youtube-watch-listen-stream,544007664
cockslayer56,"when i first joined the platform around 2016, i saw some good quality stuff. but ever since 2019, the quality has been rapidly declining. first it was the recommended section going kinda crazy weird, then it was yt shots which is just a complete copy of other media, and then there was the removal of dislikes which i am still salty with.
i find the removal of dislikes COMPLETELY UNNECESSARY, as they help people know what to trust or whats good. also the factthat y’all   used “dislikes were hurting influencers mental health” is a joke because dislikes can help them see whats popular and also they can still see the like to dislike ratio in yt studo and anilitics. also just to mention, the removal of dislikes have also been affecting my recommend even more, especially the shorts. i keep getting terrible videos that i have no idea how they got into my recommend.  before that, it would make sense why a video was there.",2022-07-02 12:03:11,False,is this some kinda joke???,3,youtube-watch-listen-stream,544007664
amazonisruined,"We all know by now that Google makes its money through advertisements but it’s seriously ruining the app experience for me. The ads that appear after every third video are now taller and take up more space on the screen. It’s hard enough trying to find new content through YouTube’s terrible algorithm, but now I have to battle through endless ads. 

Also, I hate that notifications from channels I’m subscribed to appear in two places. I get a notification from the “Subscriptions” tab AND the bell icon at the top of the screen. Why would I need two notifications for the exact same thing?

While I’m on a roll, I’d also suggest removing the upload button. I will not and completely refuse to watch shorts and that’s the only reason it’s there. Shorts are a worse version of Instagram reels which is already a worse version of tiktok. No content creator is going to upload long form content (which is why this platform was created in the first place) through their phone. Ditch it.",2022-02-09 05:59:02,False,"I Understand, but it’s Annoying",1,youtube-watch-listen-stream,544007664
Aircavmedic,"From paracord, to music artists, to installing a car filter, medical information and opinions. I prefer it over other platforms with so much discourse, arguing, opinions etc. I still am unclear why, if someone does not like a video, then back out of channel. Again from instrument learning, watching artists, and yes, even various types of cuisine. One site, helped positively change my diet-thank you. As RN, I try to remember surgical instruments, follow other topics of interest. Fixing car, fixing just about anything can be found. Helped diagnose a problem with my chain saw. Saw hand surgery CMC ARTHROPLASTY, I kind of knew what to expect but my medical specialties were Urology, OB-GYN, ER, community heath. Love daily medical questions. A ton of advice on sexuality and sexual issues. Prefer it over other social media platforms",2022-05-10 09:24:23,False,So much information,5,youtube-watch-listen-stream,544007664
freak the slayer,"I’ve been using this app for eight years now and I’m only now having a few problems with it one of which is having to do with my playlists or at least two of them thePlay list says I’m on201 and I’m not out and no I’m not because I usually start at the bottom becauseI have some videos later than I want to see the only way to get there’s going straight to the bottom of the playlist click that video that’s there and there it’s says I’m on 201 when I’m on when I’m supposed to be on 1040 

Another thing that’s been happening is that It won’t let me click the show unavailable delete videos so I can get them out of my playlist and I thought the last upstate fix that and then I get a new one and it reverted back to the first problem",2022-05-02 03:33:26,False,Playlist problems,5,youtube-watch-listen-stream,544007664
Dionne081820,"Good app to watch videos. It has all kind of videos for every body from young children to adults. My 2 year old son enjoys watching educational videos about colors or numbers or toy cars, there’s a lot of videos about toy cars and my son loves it. My 4 year old son enjoys video game gameplays videos he also loves super hero toys videos there are many video makers very creative that  makes good videos with the toys creating fun and entertaining stories for my son. My son knows a lot of video game characters without playing video games thanks to this, he also knows many super heroes. My wife watches her music videos here, so there is content for everybody, and I watch the news or comedy channels, so it’s a very useful app that everybody should have on their phone I recommend it 👍",2022-05-01 16:23:12,False,Good for watching videos,5,youtube-watch-listen-stream,544007664
jlewis1881,"As an iPhone user, I generally have my screen orientation locked in portrait mode for general use. I love that YT allows us to swipe up/down for landscape/portrait toggling. However, I would actually prefer that the screen rotation be counter-clockwise as opposed to the default clockwise rotation. While there are many personal reasons, I think that the most persuasive argument would be that when propping up an iPhone [with a PopSocket] on a flat surface in a clockwise rotated landscape orientation, the volume buttons are placed underneath the phone, making quick volume adjustments [often for loud ad breaks] a bit more inconvenient. If possible, could you… would you please give us an option for the upswipe rotation direction? Thank you for your time and consideration.",2022-10-01 12:26:04,False,settings option for rotation direction?,5,youtube-watch-listen-stream,544007664
AreYouKiddinMe?,"I’ve been using the YT app on iphone for years and it’s great. HOWEVER, when I upgraded it the Premium free trial, I noticed that it now makes my battery drain super fast and makes my phone run really hot. I uninstalled and reinstalled the app, using it now signed out—i listened to like 8 songs—went from 94% to like 86%. On Premium, it drops 1% every few seconds and one song burns like 50% of the battery plus it makes my phone run very warm to the touch. Regular YT app signed out—cool as ice. Something is making this run the processor a ridiculous amount and that’s dumb because for a paid service with no ads it should use less data and less battery power in my opinion lol please fix this!!!
*Update I deleted then reinstalled the app and signed back in and it seems to be working normally now-no excessive battery drain.",2022-05-14 02:48:59,False,Having an issue,4,youtube-watch-listen-stream,544007664
ASHabeca,"Ok, I’m obsessed with this app, and I really like it but there’s a glitch that’s so stupid I can throw my iPad on the ground. Ok so every time I like comment on a vid, and I refresh it, my comment is GONE😞 I wanna get pinned, but now that I cant comment I CANT DO NOTHIN. PLS FIX THIS!! ALSO THERES SOMETHING ONLY HAPPENING TO ME RIGHT NOW. ITS SAYS: RESTRICTED MODE IS ON AND I CANT TURN IT OFF. I HAVE A YT. AND NOW ICANT HEART MY COMMENTS, PIN THEM, OR REPLY TO THEM. AND I CANT REMOVE THEM EITHER. THIS IS JUST STUPID. Other then that, it’s a great app. I use it all the time. And like, It’s got 100% of entertainment to enjoy! Also. One more thing, I hate the new update (2 months ago) where yt ask stupid questions, like:
What website have u used recently. And I’m like: bruh. WHY. THIS IS JUST A WASTE OF MY TIME. AND ITS AN AD. AND ITS LIKE, WHY ARE U ASKING ME QUESTIONS ABLUT THE INTERNET. ARE U GONNA HACK ME OR SOMETHIN? Ty for reading this. Bye bye!",2022-03-24 19:34:21,False,AMAZING I LUV but…,5,youtube-watch-listen-stream,544007664
whycantyoujustusemyusername,"not sure what you guys did, but now starting just today on the ipad mini 2 version of the app, you broke the comments section replies entirely.  every time i click “reply” it shows the replies for the first comment i clicked when opening the app..... for ALL the vids.  so if i open on video, click “User123’s” comment, this will now be the comment that i see anytime i click reply on any video until i close the app.  restarting the app does not work, shutting down my tablet does not work, and even redownloading did not fix the problem (it seemed like it did at first, but then when i closed the app and reopened it, the problem started again.)

seriously, please fix this.  this is horrendously bad and i don’t care how old my dang ipad is, this is a basic app that should just work dangit.  you guys are a multimillion dollar corporation for crying out loud.  get it together",2022-06-19 16:25:48,False,"ok, when it works... not right now tho: comments are broken",2,youtube-watch-listen-stream,544007664
boardnbabe193,"I just wanted to see how much force it takes to break a femur, since it’s the largest bone in the human body and, years ago I actually broke a friend of mine’s femur playing Babe Ruth baseball. We had an infield fly and neither of us called it and ended up colliding and going to the ground. I got up just fine but he stayed on the dirt yelling in pain. I was the only girl in the league that year and the year before and felt so bad for doing that. At that time, I wasn’t sure what I had exactly done and 911 had been called for him. I visited him days later but he was obviously still recovering. Years later he would still joke around and ask me if I’ve broken any legs lately? We just laugh about it. I’m still lost on how I could have broke that bone though.",2022-08-13 02:22:43,False,Broken Femur,5,youtube-watch-listen-stream,544007664
