rating,isEdited,title,date,review,userName,app_name,app_id
4,False,Great App,2022-08-05 22:03:13,"This is a great app with a lot of enjoyable content. However, I use the audio description feature and several movies, that have the description track available on iTunes do not have it available on Disney+. These include several of the Xmen movies such as First class, Days of Future Past,  Logan and the Deadpool series. It is quite frustrating that you can get audio description if you purchase these movies on iTunes but not if you stream them on Disney+. It costs a lot of money to purchase these movies, just to be able to watch them in an accessible format for the blind and visually impaired.  Given that these tracks have already been created for other platforms, it would be very much appreciated if they could be added to Disney+ just as the audio tracks for other languages have. I thank anyone who considers this feedback, as well as anyone who can work to implement it. I also appreciate Disney's ongoing commitment to accessibility.",Dryatofa,disney,1446075923
4,False,Very good but never finishes shows in time,2022-06-13 17:46:39,"I love Disney + . But I am a hardcore fan of the owl house and amphibia. My problem is that Disney+ never came out with the new episodes as soon as they aired! For example amphibia only has up to episode 14 in season 3 even though episode 15-the finale have been released! The owl house is another one! The last five episodes of season 2 have not been released on Disney+ even though it had been aired on Disney channel! These are two amazing shows that I need to wait to watch the last few episodes! And there is no information I can research saying when the last few episodes of amphibia is going to be released on Disney+ 
     And another thing is that Austin and ally only has 2 episodes of season 3 and aren’t even the first two! So please come out with new episodes earlier so we don’t need to wait a whole month or two until a",sssssshhhhhhaaaahhhh,disney,1446075923
5,False,Great app! But needs a few things.,2022-03-21 11:57:40,"Disney+ is a great app! It gives me a lot entertainment of movies and tv shows of the companies that Disney own’s. But this app does need a few things. First of all, you need to have more than two languages. I think you should have 5-6 languages on here. I’m saying this because some people speak different languages in the US. Secondly, you should have old Disney shows that people grew up watching. I’m also saying this because some like to adults like to watch old tv shows and movies. Lastly, if reading this review right now make sure you know Fox is another company that owns Disney. I think you should add more Fox movies. There’s just not enough movies on there please add more movies to this app. Overall this a great app! Disney can you please make the changes for me.",zeke#3859492,disney,1446075923
2,False,"Too woke, not appropriate for kids",2022-03-31 16:40:28,"I LOVED the idea of Disney+ and subscribed shortly after it was launched. I loved the easy access to the wholesome classic movies and cartoons that made Disney great. The warning labels regarding culture were annoying but I was happy they were willing to put the content up anyway. Chalk that up to market forces! Some of the newer content was good, too. But within 6 months of starting my subscription I noticed the level of content that was pushing climate change, LGBTQEtc and other agendas was too much to take, and it was just starting to ramp up. It’s not Disney’s job to indoctrinate kids and sleepy adults like this. I canceled my Disney+ subscription as a result. I’ve always loved all things Disney and have spent significant $$s going to the parks, etc. But now I won’t be spending any more of my hard earned money on anything Disney until the company moves closer to Walt’s vision. I don’t believe he would be happy with the direction his company has chosen to take.",KJListens,disney,1446075923
1,False,So much woke garbage now,2022-06-09 01:23:01,"What happened to family friendly content? I used to say the phrase “keep it Disney” when telling people to talk or act appropriately. People would laugh. I can no longer say this because Disney no longer cares about the innocence of children. You care more about pushing an agenda than keeping Walt’s dream alive … about the imagination and wonders and dreams of children and the magic of childhood. It’s disgusting and you should be ashamed. 90% of your customer base is families with kids. You guys have single-handedly ruined many people’s childhoods with this nonsense. I can’t leave Disney on anymore with my nephews because now I have to monitor what they’re watching in case it’s not appropriate. You’re losing money hand over fist for a reason. Your stocks have plummeted. You’re losing subscribers left and right. Wake up. After a lifelong passion for all things Disney, it’s with a heavy heart that I have to walk away from your company. It was magical while it lasted. Hopefully you guys can change course. Good bye for now.",W00000oooOoooo!,disney,1446075923
5,False,✨Really good ✨,2022-07-12 14:51:23,Like I said on the title it is really good but in one of the episode of Liv in Maddie do you know like when Maddie gets her voice cast to get a surgery or she’ll never be able to sing again before she goes to surgery just seem really weird And then something bad happened to me and I don’t know if that was just like if it was like making the show happen or I was just like a coincidence at the same time I can tell you it is really good I prefer no changes at all just add one thing because one of your Disney shows is Bunk’d but you have that on Netflix I don’t get it even though that’s a Disney show because I’ve seen it I’ve seen on Disney Channel so please add Bunk’d💅🏼 but I can also tell you I grew up with Cinderella beauty and the beast Ariel oh my think Tinker Bell I think,321 mouse,disney,1446075923
5,False,love the inclusion!!!,2022-04-27 03:20:02,"i absolutely love the inclusion of lgbtq+ kids and their experiences as well as storylines. this teaches kids it’s okay to be themselves (as that is the goal disney has had all along and should be encouraged in a world where they are hated for no reason). i also love the POC representation too!! encanto and luca were so amazing to watch with my POC friends. what a wonderful way to embrace different cultures!! i know parents are upset about the representation of lgbtq+ content, but do you really want your child (and others) to grow up in a world where they are shamed for just one thing that makes them different? as a parent, i would think you would want to help them feel comfortable and accept who they are. just food for thought. again thank you disney!!",Ally,disney,1446075923
4,False,Let’s talk pros and cons,2022-07-10 23:00:24,"Pros: the pros of Disney plus can be unlimited. You have all the great movies and tv shows that you’ve always wanted to get your hands on, and you’ve got the musicals of every option. Disney plus has brought enough me and my family so much Joy and this shall continue if…
Cons: the cons of Disney plus are, while there are some great things you, have lots of productions that you could say is inappropriate for some ages. Or it’s just a bit weird but if we work together on this Disney plus can be better than ever.  

I also have one last request, can you put movies of the Olsen twins on Disney plus, because I love them but the only movies I would want are all the ones from when they were younger so like teens and tweens. Also thank you for putting the parent trap on here the newest one.",bruh..... moment.......,disney,1446075923
4,False,Disney +,2022-02-22 13:21:28,"I think Disney + is the best, it is like all I watch on my phone. But there is one BIG flaw..... it takes up so much storage. I watch it so much and I think it takes up storage for that reason. If you keep watching it I think the keeps all of your data from your history of what you watch which takes a lot of storage and I don’t like that because I think we should to watch as much as we want with our storage being full but if I delete it then I will be so bored with nothing to do. I know this because almost every time I finish watching a series it says IPhone storage full. You can check your storage by going to setting clicking General and clicking IPhone storage to check how much storage you have!
Other than that I REALLY LOVE Disney + and I would recommend it if you are bored!",cater2.0,disney,1446075923
5,False,When I ask my dad to download Disney+,2022-04-11 00:33:03,I asked if you sign me up and I had a counselor my dad and I shared with my sister so my dad watch something and didn’t finish it and my sister watch something and I hate it I would have to stick with it in my inventory but I watch blue is my favorite day when I discovered it turn red I love it since it was the day it was getting ready for school and it was so I just cut my eyes off I couldn’t just get my eyes off it and my dad said come home and then you can watch it I did Disney+ should get a five star review but sometimes it’s really glitchy and I think it should not need Internet and Netflix too but I love Netflix and Disney but it does need a little bit more so don’t tell Netflix so I hope you like it🤩🤩🤩🤩😊😊😊😊🛼,grrdyy,disney,1446075923
3,False,App needs work,2022-09-15 06:41:36,"The content is fantastic, but the app itself needs work.

For example, you cannot turn subtitles off permanently. It *always* defaults to having subtitles on. Lately, it always has them on in Chinese. I don’t know a lick of Chinese, so I’ve no idea why it does this.

The app is also a bit buggy. My phone doesn’t remain connected to the app, and I keep having to reconnect in order to pause or change streaming volume, etcetera. Many times I need to close the app on my phone and reopen it, and then reconnect to whatever device I’m streaming on.

Playback is generally flawless, and the content is great. I wish it was easier to navigate and find what you want, but that’s what the search feature is for, I suppose.

Would be nice to have a rating system, or some way to curate content per person more easily. A dedicated banner for The Simpsons would be nice, too. With the massive amount of content there, having a dedicated button for them would be nice.

All in all, the app functions decently, but not as well as it should. 3 stars, because there’s zero reason why Disney can’t make this app flawless. They’ve got the pockets and talent, and really need to get it together. This app should be the best streaming app on the market, and it’s nowhere near it.",Anon43,disney,1446075923
5,False,Is and always a great service.,2022-04-12 23:59:51,"Disney Plus is fantastic, I can access my favorite childhood movies and the movies that are being released just get better and better. Anyone that says otherwise or is angry because of Disney’s “wokeness” is a bible thumping parent that’s upset simply because of true representation. Disney is now what I was always looking for in movies as a child and now get to enjoy and view as an adult. I’m jealous kids these days get to enjoy such art and if you’re a parent depriving your kids of such beauty then shame on you. Nothing is “sexualized” this is Disney get with it. My inner child thanks you Disney, and all the wonderful staff that put thousands of hours of hard work, thought, and love towards the publics entertainment. We love you.",KbBeara,disney,1446075923
4,False,Offline quality is terrible.,2022-09-08 20:15:43,"One of the main reasons I use streaming services is for offline use. To kill time on plane, train, and buss rides, but watching a movie I’ve been told is great due to its CGI in what feels like the quality I had a decade ago on bad Wi-Fi.. it’s not great. It’s annoying too when you know the movie exists in higher quality, I’m pretty sure it even streams in higher quality.. so why not let me download it in at least a decent quality for the iPad?

Update; upgraded it to 4 stars as it turns out there’s a option in the settings for what quality you want. I’ll update this after seeing the highest quality. But it’s still 4 stars simply because the default is the lowest quality. So people will most likely have at least one bad experience..",NicolayH,disney,1446075923
4,False,COOL BUT WHY,2022-07-12 21:26:36,"It’s very good that they have James and the giant peach that’s my favorite movie why do I have to pay like so much do I look like a grown-up to you I’m literally a child and my family doesn’t have the budget to buy the stuff I know that all of these apps need money to control the app but why is this way too expensive it’s not like I’m going to watch the entire app or something also my big sister‘s therapist wanted to put like a profile picture for her account and she chose Peppa Pig which is to cringe but I still love Disneyland though lol but I heard you guys actually froze Walt Disney’s body and the only thing we can search up is just a frozen movie why aren’t you telling this to people I’m literally nine so I DK how I know the USSR so thank you for taking your time reading this

Love-
Chris",chris10475,disney,1446075923
1,False,Give us back the old Disney,2022-03-31 05:45:18,"I loved Disney growing up as a child. I would wait all week for the Disney show on Sunday nights. I would revel in the wonderful stories little Chitty Chitty Bang Bang and Mary Poppins. When my wife and I had kids we naturally wanted them to experience the same joy of a childhood through the magic of Disney stories and that was true for a while. But in the last few years all that has changed. Disney has gone down the woke rabbit hole. Instead of telling beautiful stories they are all about indoctrination children on race and getting them to question their own gender. Thanks to great journalism from Christopher Rufo, we are now learning about top executives trying to “sprinkle queerness” all throughout their films. Why are they so intent on sexualizing our children? It really makes you wonder. I for one and keeping my kids the heck away from all Disney products until this group of senior executives is long gone. How dare they??",dontworrybhappy,disney,1446075923
5,False,"Amazing, but a few suggestions",2022-06-21 12:32:36,"This is wonderful, it has everything on it. The only problem is that a bunch of shows have missing episodes, for example, The Owl House. Which I have been binging, but I came to a stop once I realized that the five final episodes are missing. I’m sure it’s just me with those five episodes, but everyone is experiencing missing episodes or random episodes in their show. I’m not sure what the process is to get episodes to Disney plus, but you were very quick with other shows. I’m not sure why these shows are getting all their episodes, even when most shows were made here in the US. Can you fix it? I’d appreciate it.",Some random goober,disney,1446075923
3,False,Somethings Fishy…,2022-04-01 21:38:56,"Overall Disney+ is a pretty good app. Kinda like Netflix but I guess there’s not much to a streaming service other than the shows and movies to stream itself. But there’s two odd things that it did while I wasn’t using it. And no, it’s not a security issue, might be some bugs or something.

So whenever I dont use it for a long time, it automatically logs me out of my account. So, for me to want to watch a movie I like, I have to log back in to see it. And another weird thing, for some reason my profile was deleted entirely. No trace of it, just gone. So not only did I have to do that, I also had to make an entirely new profile ALL OVER AGAIN. Now it’s not a super slow process, but I would really like these issues fixed and, if others are experiencing it, they would too",🦄😇🦄😇🦄❤️🦄,disney,1446075923
5,False,All is amazing but I have a request for you,2022-03-20 07:03:40,"So you have all my childhood shows, Henry juggle monster, Mickey Mouse clubhouse, and all that jazz but there is just one classic you don’t have and that is juggle junction, now jungle junction is a childhood classic an icon itself and not only is the theme song the best song in Disney history but the plot is the best thing ever DONT get me started on the crab man who makes smoothies I love him so but he’s not the point right now the point is you cannot cheat these babies and toddlers out of the amazing iconic tv show that is jungle junction now you may not take me seriously but you should because I guarantee this show coming back will be a hit do it and it doesn’t then sue me.",sjoxcbd,disney,1446075923
5,False,WHAT!?! Why is this app so amazing,2022-03-12 12:07:51,"I’ve had Disney+ for a few years now on all of our TVs (8) and then I just got it on my iPod touch and my sister and I both have it on our tablets so that makes 11 devices with Disney+ on them. We like Disney+, A LOT. Also, they have The Simpsons on Disney+!?! It’s not even Disney! And I am super happy about that. It also comes in handy on my iPod when I Lose the remote so I can still watch something and also when my baby brother is not happy( which is normally when my mom is making dinner, so he’s in his bouncer) I pull up a chair, pop out my Pop socket and put on Bluey. All in all, I think this is a great app and definitely deserves a five star review.5️⃣ ⭐️. ⭐️⭐️⭐️⭐️⭐️",~Crystal_Wolf_DreamCatcher~,disney,1446075923
4,False,A note on Disney+,2022-06-22 16:30:45,"I appreciate the content that is produced and regularly released on the site, but find the site to be more difficult to navigate than other comparable services. 
My biggest complaint with Disney+ is that I can not find a feature that allows me to remove items from my “continue watching” list if I do not wish to continue watching. 
If it is a movie, I have to scroll to the end in order for it to go away and if it is a show, it will be replaced on the “continue watching” list by the next episode.
Disney+ should allow people to manage this list and remove items so that it better reflects what users want to watch and allows them to get better use out of it.",LI dad,disney,1446075923
4,False,MY OWN opinion,2022-05-29 04:10:14,"I know this is very personal, and selfish because I’m asking of something for me and some other people. I wish you guys could update the Disney channel show episodes when they come out or at least more often. The show I specifically want more updated is “The Owl House” the season two finale (episode 21) finally came out yesterday but I still can’t watch it because right now you can only watch to episode 16. I know that more people care about the movies more than the shows, but there are still plenty of people that like Disney Channel. Again very personal of me for wanting updated episodes of a show I like, but can you please make this difference?

 (Also so my friends can watch it too)",wilsokai3,disney,1446075923
1,False,Trash,2022-06-17 01:41:33,"This app is absolutely horrible. I payed  over 100$ for the subscription alone and I have to pay at least 50$ or more on new movies. It’s honestly cheaper to see every movie in the movie theater than using this trash. Disney has gone from “fun kids shows” to adult content! I’m sorry but also stop making shows be like “new episode every Wednesday”  it’s really annoying...
We just wanna see the whole series, not have to watch every episode over again to know what’s actually happening in the show. Thanks for reading, I sure hope this app gets better by 2023 it needs to happen
🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼 another thug Disney has been doing is calling out shows for being “offensive” meanwhile sleeping beauty had to be fixed I guess because it was inappropriate, like seriously 😒  JHonny depp is probably one of the best actors I have seen ( need to fix updates having to be downloaded constantly too )",hxhnddnhdjdndnsdb,disney,1446075923
4,False,Its ok but kinda a waste of money,2022-08-03 19:18:52,"I like disney+ but as im getting older it’s beginning to get boring, and I mean EXTREMELY BORING. Like when a new season or new episodes of a show comes out it takes literal months for them to get on Disney+. Here’s an example: new episodes of grown-ish came out and I didn’t even know, I also can’t watch the episodes because they’re not on Disney+. Even Netflix it doing better than Disney+. And another thing, season 8 of black-ish came out like last year and y’all STILL don’t have it on Disney+. I’m tired of waiting now, knowing good and well that the new seasons/episodes of shows are probably NEVER gonna be on Disney+ anytime soon.  Please up y’all’s game with this app because waiting is getting very very tiring.",Honey77$,disney,1446075923
4,False,Profile Switching Needs Internet?,2022-07-28 15:43:48,"The app and content are getting better, but I ran into an issue today that was annoying. On a flight today I logged into the app to watch a show that I had downloaded. I wasn’t able to see it because my son was the last person on it and the app was logged in as him. When I went to switch to my profile, I was met with an error saying that I needed to be connected to the internet to switch profiles. That makes absolutely no sense. I understand I need to be if I was looking to stream a show, however I’m looking to just switch profiles to see my downloaded content, there’s no need for internet to do that. Can someone please fix this logic in the app?",Its_The_Admiral,disney,1446075923
1,False,I cancelled Disney Plus. Stay Out of Politics!,2022-04-06 13:01:11,"I cancelled my Disney Plus subscription because Disney, an entire company created to provide safe entertainment for children, decided to fall of their sword in order to demand that 5, 6, and 7 year old children in Florida receive education on transgenderism, homosexuality, and other curriculum relating to gender identity and sexual orientation. 

At the same time Disney decided that at least 50% of all actors and animated characters in all Disney shows and movies will be LGBTQIA+ or people of color. I don’t support affirmative action, nor do I support the indoctrination and grooming of young children with transgenderism, homosexuality, and other the leftist ideologies on gender identity and sexual orientation. 

In addition to canceling my Disney Plus subscription, I will no longer be taking my family to any Disney cruises, theme parks, hotels, or movies, nor will we be watching any Disney owned TV channels. DISNEY, STAY OUT OF POLITICS!",ericandi,disney,1446075923
2,False,Unable to use services anymore,2022-01-13 03:14:13,"I would love to give this app a solid 5 stars… however after having this app on a previous phone (Samsung galaxy s20 ultra) and it working with my subscription flawlessly, I am however very sad and disappointed to now inform everyone that my subscription won’t work on my newer phone (an IPhone) not only will the subscription not work but not a single profile can be entered it simply infotlrms me that “something has unfortunately gone wrong and to try it again later” all my service and data ends have been tested and checked and nothing has gotten the app to accept a single email that I enter. It is very unfortunate because I did love this streaming service mostly to watch all seasons of the Simpsons I’ll admit, but oh well I guess I can go pay per episode the very very costly way.",Hierodak1d,disney,1446075923
2,False,Doesn’t show all episodes,2022-01-12 21:03:17,"I don’t like to use Disney plus very often because even though they have good shows, they’ll only put a couple of episodes of each show (even though the shows are old and all episodes are already made) not only does it now give you the entire show but it only cuts off right before a serious part in the show. I’ve had this happen with 3 different shows and every time it gives you the lead up to something big and than there are just no more episodes to show what’s supposed to happen next so everything is also a cliff hanger that they just aren’t going to continue. I’ve probably watched more episodes of a show on tiktok than I have on Disney plus. Waste of money if you like to actually finish your shows. I hate this app so much now for doing this",sewage drain,disney,1446075923
4,False,Why shorten hit shows?,2022-06-02 15:57:51,"I love Disney+ but I would like for The animation lovers to pay attention. One of my favorite shows the owl house is shortened to three seasons because apparently it didn’t fit with “ The Disney theme. “ Almost like the show was not from Disney. This shows has a lot of love courage bravery and many other elements that are not just enjoyable to watch but has a good moral story. Disney I am begging you, bring back the show I love most! Fans I have commented on numerous social media sites and how much they’re gonna miss the show. The owl house is a show people make fanart, make  media posts about it, people are obsessed with this show and people like me are sad but it’s coming to an end. Please Disney bring it back!",ippygirl12,disney,1446075923
5,False,I love Disney+,2022-04-15 18:53:22,"I love this app so much it has all of my favorite shows and movies and what I’m really excited about is the Marvel category, I was wondering if Morbius and Spider-Man no way home would be added, I do understand it will take time to add them but if there is a specific date I would love to know, or if your even adding them at all. But if you aren’t already planning on it, please consider adding Morbius and Spider-Man no way home, because they are probably my favorite movies of all time especially Morbius.
But I do understand that it will take time for these things, and I really appreciate all the hard work and effort you’ve put into this.",The Sunset Syren,disney,1446075923
2,False,Going down hill,2022-02-02 12:10:26,"I am so disappointed because my main reasoning behind getting this in the first place was so that my children could enjoy the movies i grew up watching. I had bought this in the beginning of the pandemic and at that point it was great. Now Disney plus is just knocking them off one at a time for “negative depictions” or whatever. What has this world come to? When i was a little kid i never thought of anything terrible like that watching these movies, as a matter of a fact i didn’t see all the hidden things that were inappropriate until it was pointed out to me as an adult, in which they didn’t even have anything to do with race. Just another company trying to following the rest to not get “cancelled”. Meanwhile i always thought Disney stood apart from others now they aren’t so much.",ChelseaS89,disney,1446075923
5,False,Disney pless opsidion review,2022-09-28 03:32:06,The biger the problem the biger the fall and Disney pless fell far away from the fans in a smoking that’s what I can say I don’t think it’s a big problem and a small problem and it’s just me I think it’s good for you but it’s not like great but it’s not bad it’s just getting good out there is not going anywhere else but we can say it’s not going great!!!!!!!!!! I don’t believe I said that but it’s just getting great!!!!!!!!!!!!!!!!!!!!!!!!!! My kids will have fun with me and my family and friends with me too so we don’t have to say it’s just getting good stuff from my parents so we can go get some rest of my kids will be cranky and Crabtree …,jo call you nice ninja,disney,1446075923
5,False,There are no issues at all 💖,2022-03-15 01:50:20,"I love Disney+! It has all the best movies. I always go on here when I want to watch a movie and my TV isn’t near me. There are no issues at all. I could write the longest review ever only saying good things about this app! This is a amazing app i watch all my favorite movies on here. It’s helpful in the car when my brother is crying 😂 I can just let him watch Mickey Mouse clubhouse! He enjoys this app too! 🤣 I use this app all of the time, there are sooooooo many different movies. I recommend this app for anyone, any age it’s amazing!!!!!! Keep this app on App Store forever!! I love this app. I can type this review forever! I love this app! Thank you!",Harper Jones,disney,1446075923
